username,userid,profile_location,created_at,text,retweet_count,source
vhyunn,3300297049,,2015-07-29 06:45:18,"서부내율고속도로
승두천개발
개발정보
진공관
브리츠
평택신영리
블루투스스피커
블루투스
고덕신도시
LED컬러
360도고음질
신영리
토지투자
코로나19
현덕지구
바이러스
스피커
듀얼플레이
unity93034 https://t.co/TDsIip17rV",0,Twitter for Android
송이😷,786614275,우주,2012-08-28 09:24:49,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for Android
서동건,1348678792630267905,,2021-01-11 17:11:11,"전남여행
전남휴게소전남횟집
전남모텔
전남콜걸
전남코로나
전남콜걸샵
전남페이만남
전남훈녀
전남맛집
전남조건만남
전남출장안마
전남오피
전남출장마사지
전남섹파
전남출장
전남노래방
전남애인대행
shfoqkdgi541 https://t.co/2UOPSMs6zN",0,Twitter for Android
관휘아빠,834530360,,2012-09-20 01:48:58,"RT @jini_2018: 코로나19 백신 접종 미룬 이재명 경기지사, 네 번째 자가격리 | 다음 뉴스 https://t.co/HimPWbpP94 
주사 왜 미루니?",9,Twitter for Android
polka dot,628687260,,2012-07-06 18:18:57,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for iPhone
불멸의뫄앙고,1239905509047554048,흑백 사랑해,2020-03-17 13:24:53,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter Web App
상큼한아침,186487217,,2010-09-03 16:01:01,"RT @jini_2018: 코로나19 백신 접종 미룬 이재명 경기지사, 네 번째 자가격리 | 다음 뉴스 https://t.co/HimPWbpP94 
주사 왜 미루니?",9,Twitter for iPhone
🌸NAYEON🌸,833931336146620416,너는 나의 단 하나의 에움길이었다,2017-02-21 06:48:19,"RT @yarlyshirley: 코로나 집단감염이 있었는데도 회식하고, 강제참여시키고, 성추행에 은폐 따돌림으로 사람 죽인 공군 20 전투 비행단. 가해자 얼굴 신상 공개하고 책임자들 전부 직위해제 시켜라 https://t.co/yv52UWAezS",1005,Twitter for Android
거래 계정,1185600431273082880,코로나 연기 취소시 모든공연 티켓원가만 환불가능,2019-10-19 16:55:49,"뷰티풀민트라이프 뷰민라 2021 양도
→코로나등 취소의경우 티켓원금만 환불
→아이디이동
6/27 일 낮공
203구역 2~3열 2연석 +3
202구역 5열 +1.5",0,Twitter for Android
( ! )공운( ¡ ),1394531032813096961,대한민국 마포구,2021-05-18 05:51:30,"RT @ppapper: 친한 형 아들이 초등학생인데 과제로 교실에 소규모 인터넷을 구성하는 걸 진행중인데 -마침 코로나로 학교에 사람도 없어서- 랜케이블도 깔아보고 장비도 연결해보고 그런걸 하는데 아빠를 비롯한 나, 형 친구들과 온갖 무뢰배들이 모여…",291,Twitter for Android
