username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
YTN news,/user/ytnnews24,[자막뉴스] 이태원 클럽 당시 상황 봤더니...충격 그 자체 / YTN,708K,708K views,/watch?v=IKENsz3Rb3o,,2021-04-17 13:27:32.820069
KOREA UNIVERSITY MEDICINE,/user/KUMCbroadcast,"[ENG/ESP sub][COVID-19] 이태원 클럽發, 코로나19 확산! / Spread of COVID-19 originating from clubs in Itaewon!",302,302 views,/watch?v=Uzw-pmC4L9M,,2021-04-17 13:27:32.824183
비디오머그 - VIDEOMUG,/channel/UCMEbRpvuwTbXxGiyDb1mT8w,이태원 클럽 나비효과…크게 늘어난 코로나 검진 행렬 / 비디오머그,100K,100K views,/watch?v=I9oRwMTSbOM,,2021-04-17 13:27:32.825814
KTV국민방송,/user/chKTV520,이태원 집단 감염 사태로 다시 시작된 코로나19 │또 한 번 의료진과 코로나19의 사투│코로나19 경각심,5.7K,5.7K views,/watch?v=88gmsftggcw,,2021-04-17 13:27:32.826945
YTN news,/user/ytnnews24,이태원 클럽 코로나19 첫 확진자 이후 100명 넘어 / YTN,50K,50K views,/watch?v=3JDP2eG4Euk,,2021-04-17 13:27:32.827966
KBS News,/user/NewsKBS,"[코로나19-서울] 이태원 클럽 관련 확진자 101명…이태원 방문 10,905명 명단 확보 / KBS뉴스(News)",122K,122K views,/watch?v=V8gwalRzugs,,2021-04-17 13:27:32.829176
YTN news,/user/ytnnews24,이태원 클럽 발 코로나 확산...방역당국 긴장 / YTN,16K,16K views,/watch?v=rAvi6l1UtzY,,2021-04-17 13:27:32.830105
SBS 뉴스,/user/sbsnews8,이태원 클럽발 확진 2/3는 20대…코로나19 인식 보니 / SBS,12K,12K views,/watch?v=0DBbhNZIy-k,,2021-04-17 13:27:32.830888
MBCNEWS,/user/MBCnews,대구에 이태원 클럽발 코로나 확진…열흘간 카페·노래방 방문 (2020.05.23/뉴스데스크/MBC),12K,12K views,/watch?v=yLSWDMM4q6k,,2021-04-17 13:27:32.831689
YTN news,/user/ytnnews24,"""이태원 클럽 확진자 102명...7천여 명 진단검사"" / YTN",126K,126K views,/watch?v=6-IiNgLc5VE,,2021-04-17 13:27:32.832962
연합뉴스 Yonhapnews,/channel/UCj3_t5p4L4aFsvdW3uHjnnw,이태원 클럽 관련 확진자 100명 넘어…홍대 술집서도 확진 / 연합뉴스 (Yonhapnews),18K,18K views,/watch?v=O-8Etc0brWY,,2021-04-17 13:27:32.834071
SBS 뉴스,/user/sbsnews8,"이태원 클럽 접촉자만 1,500명…행적 추적도 어렵다 / SBS",83K,83K views,/watch?v=cPIYs1nRjUg,,2021-04-17 13:27:32.835080
KBS News,/user/NewsKBS,이태원 클럽발 ‘5차 감염’ 2명 확인…코로나19 이틀째 20명대 / KBS뉴스(News),631,631 views,/watch?v=IcRoVXV0CEI,,2021-04-17 13:27:32.836097
YTN news,/user/ytnnews24,"이태원 클럽 발 코로나19, 대구·경북 확산...2명 확진 / YTN",5K,5K views,/watch?v=WvIShfLOJGs,,2021-04-17 13:27:32.837198
BBC News 코리아,/channel/UCIDOGTbwTBHZ5YoR9Xjcp-w,홍석천이 이태원 클럽 방문자 ‘검진독려'를 결심한 이유 - BBC News 코리아,3.8K,3.8K views,/watch?v=U5xMlwhobmM,,2021-04-17 13:27:32.838463
크랩 KLAB,/channel/UCoxT1kQSLq564FwpK473w-g,"이태원 게이 클럽? 기자님들, 왜 이렇게 보도하시는 거예요? 이태원 집단 감염에 커지는 성소수자 혐오｜크랩",9.9K,9.9K views,/watch?v=7bNBqKLQN78,,2021-04-17 13:27:32.839465
MBCNEWS,/user/MBCnews,"이태원 클럽발 '5차 감염'…""무서운 전파 속도"" (2020.05.24/뉴스투데이/MBC)",67K,67K views,/watch?v=oxuDgaGaYTk,,2021-04-17 13:27:32.840515
